University Name,Country,City,QS Ranking 2025,Public or Private,Tuition Fees (International),Application Fee,IELTS Requirement,TOEFL Requirement,Duolingo Requirement,Minimum GPA,Admission Deadline,Programs Available,Scholarship Available,Scholarship Details,Intake Seasons,Application Link,Official Website,Campus Image URL 1,Campus Image URL 2,Campus Image URL 3,University Logo URL,Notes
University of Pennsylvania (UPenn),USA,Philadelphia (PA),11,Private,"USD 63452/year (UG tuition); ~USD 85000/year (total CoA)",USD 85,"7.0+","100+ iBT",105,3.5+,Nov 1 (ED); Jan 5 (RD); varies by PG program,"Biomedical Sciences, Business (Wharton MBA), Computer Science, Economics, Engineering, Law, Liberal Arts, Medicine, Nursing, Social Sciences",Yes,"Need-based financial aid; Benjamin Franklin Scholars; Penn Wharton need-blind for all nationalities (UG); fellowships for PG",Fall,https://www.admissions.upenn.edu,https://www.upenn.edu,https://www.upenn.edu/sites/default/files/styles/news_landing_page_880/public/images/2020-07/penngettyimages-1221773064.jpg,https://www.upenn.edu/sites/default/files/styles/news_landing_page_880/public/images/2020-06/campus.jpg,https://www.upenn.edu/sites/default/files/styles/news_landing_page_880/public/images/2023-09/houston-hall.jpg,https://www.upenn.edu/sites/default/files/styles/news_landing_page_880/public/images/penn-shield.png,"Wharton and Engineering highly competitive; SAT/ACT required; 2–3 LORs; need-blind admissions for all nationalities UG"
University of California Berkeley (UCB),USA,Berkeley (CA),12,Public,"USD 14312/year (CA resident UG); USD 44066/year (non-resident UG); varies PG",USD 70 (UG); USD 125 (PG),"7.0+","90+ iBT",,3.0 (UG CA min); 3.0+ (PG),Nov 30 (UG); Dec–Feb (PG varies),"Architecture, Business (Haas MBA), Chemistry, Computer Science, Economics, Engineering, Environmental Science, Law, Natural Sciences, Public Policy, Social Sciences",Yes,"Regents & Chancellor's Scholarship; Berkeley Graduate Fellowships; need-based grants; Blue & Gold Opportunity Plan",Fall,https://apply.universityofcalifornia.edu,https://www.berkeley.edu,https://news.berkeley.edu/wp-content/uploads/2015/01/sathergate_780.jpg,https://news.berkeley.edu/wp-content/uploads/2016/09/campanile.jpg,https://news.berkeley.edu/wp-content/uploads/2015/01/tolman-hall-aerial_780.jpg,https://brand.berkeley.edu/wp-content/uploads/2020/11/logo.png,"Applies through UC system application; GRE/GMAT for some PG; SOP and LORs required for PG"
Princeton University,USA,Princeton (NJ),13,Private,"USD 62400/year (UG tuition); ~USD 84000/year (total CoA)",USD 75,"7.0+","100+ iBT",,3.9+,Nov 1 (SCEA); Jan 1 (RD); Dec 1 (PG),"Architecture, Computer Science, Economics, Engineering, Humanities, Mathematics, Molecular Biology, Physics, Public Affairs (Woodrow Wilson), Social Sciences",Yes,"Need-based; meets 100% of demonstrated need; no-loan policy; Princeton Fellowships for PG",Fall,https://admission.princeton.edu,https://www.princeton.edu,https://www.princeton.edu/sites/default/files/styles/half_2x/public/images/2020/10/20201023_Princeton_Campus_RW_007.jpg,https://www.princeton.edu/sites/default/files/styles/half_2x/public/images/2020/10/20201023_Princeton_Campus_RW_019.jpg,https://www.princeton.edu/sites/default/files/styles/half_2x/public/images/2020/10/20201023_Princeton_Campus_RW_056.jpg,https://www.princeton.edu/sites/default/files/styles/scale_/public/images/2022/02/Princeton_Secondary_Shield_3color.png,"No loans in financial aid package; Single-Choice Early Action; GRE required for many PG programs"
University of Chicago,USA,Chicago (IL),14,Private,"USD 63801/year (UG tuition); ~USD 86000/year (total CoA)",USD 75,"7.0+","104+ iBT",120,3.5+,Nov 3 (EA/ED I); Jan 5 (ED II & RD); Dec 2 (PG),"Biological Sciences, Business (Booth MBA), Chemistry, Computer Science, Economics, Humanities, Law, Mathematics, Public Policy, Social Sciences, Statistics",Yes,"Need-based; University Scholarships; Booth MBA fellowships; Harper and Schmidt Fellowships for PG",Fall,https://collegeadmissions.uchicago.edu,https://www.uchicago.edu,https://www.uchicago.edu/assets/images/uploads/2020-09/campus-aerial.jpg,https://www.uchicago.edu/assets/images/uploads/2020-09/reg-quad.jpg,https://www.uchicago.edu/assets/images/uploads/2018-02/harper-library.jpg,https://www.uchicago.edu/assets/images/uploads/2020-01/UChicagoLogo.png,"Unique Core Curriculum; GMAT/GRE for MBA; 2 LORs for UG; essay-heavy application"
Nanyang Technological University (NTU),Singapore,Singapore,15,Public,SGD 25500–39000/year (UG Int'l); SGD 20000–45000/year (PG Int'l),SGD 20–50,"6.0–6.5","90+ iBT",,3.0,Feb–Mar (UG); Oct–Mar (PG varies),"Art Design & Media, Business (Nanyang MBA), Chemistry, Computer Science, Earth Sciences, Engineering, Humanities & Social Sciences, Medicine",Yes,"NTU MOE Tuition Grant Scholarship; Nanyang Scholarship; ASEAN Graduate Scholarship; Research Scholarship for PG",Fall (Aug),https://www.ntu.edu.sg/admissions,https://www.ntu.edu.sg,https://www.ntu.edu.sg/images/librariesresources/ntu-campus/ntu-campus-aerial.jpg,https://www.ntu.edu.sg/images/librariesresources/ntu-campus/ntu-campus-hall.jpg,https://www.ntu.edu.sg/images/librariesresources/ntu-campus/south-spine.jpg,https://www.ntu.edu.sg/etc/designs/ntu/images/logo.svg,"MOE Tuition Grant requires 3-year Singapore work bond; GRE/GMAT for some PG programs; SAT/A-levels considered for UG"
Cornell University,USA,Ithaca (NY),16,Private,"USD 63200/year (UG tuition); ~USD 85000/year (total CoA)",USD 80,"7.0+","100+ iBT",,3.5+,Nov 1 (ED); Jan 2 (RD); Dec–Feb (PG varies),"Agriculture & Life Sciences, Architecture, Business (Johnson MBA), Computer Science, Engineering, Hotel Administration, Human Ecology, Industrial & Labor Relations, Law, Medicine, Veterinary Medicine",Yes,"Need-based financial aid; Cornell Tradition Fellowship; graduate fellowships and assistantships",Fall,https://www.commonapp.org (UG); https://gradschool.cornell.edu/admissions (PG),https://www.cornell.edu,https://www.cornell.edu/sites/default/files/photos/2019/april/quad-fall.jpg,https://www.cornell.edu/sites/default/files/photos/2019/may/central-campus.jpg,https://www.cornell.edu/sites/default/files/photos/2019/march/day-hall.jpg,https://www.cornell.edu/sites/default/files/styles/full_1920px_tall/public/2023-09/cornell-insignia-simple-B31B1B.png,"Partial land-grant public/private hybrid; SAT/ACT required; GRE/GMAT for PG; 3 LORs for PG"
Yale University,USA,New Haven (CT),17,Private,"USD 62250/year (UG tuition); ~USD 84000/year (total CoA)",USD 80,"7.0+","100+ iBT",,3.9+,Nov 1 (SCEA); Jan 2 (RD); Dec 15 (PG),"Architecture, Arts, Business (Yale SOM MBA), Computer Science, Divinity, Drama, Environment, Forestry, Law, Medicine, Music, Natural Sciences, Public Health, Social Sciences",Yes,"Need-based; meets 100% of demonstrated need; no-loan policy; Yale Graduate Fellowship Program",Fall,https://admissions.yale.edu,https://www.yale.edu,https://www.yale.edu/sites/default/files/styles/page_header_standard/public/2020-09/sterling-memorial-library-600x400.jpg,https://www.yale.edu/sites/default/files/styles/page_header_standard/public/2021-02/cross-campus-library.jpg,https://www.yale.edu/sites/default/files/styles/page_header_standard/public/2020-09/old-campus.jpg,https://www.yale.edu/sites/default/files/styles/page_header_standard/public/2021-07/yale-logo-2.png,"Single-Choice Early Action for UG; LSAT required for Law; USMLE for Medicine; SAT/ACT required"
Columbia University,USA,New York (NY),18,Private,"USD 66139/year (UG tuition); ~USD 89000/year (total CoA)",USD 85,"7.0+","100+ iBT",,3.7+,Nov 1 (ED); Jan 5 (RD); Dec–Feb (PG),"Architecture, Arts, Business (Columbia Business School MBA), Computer Science, Engineering (SEAS), Journalism, Law, Medicine, Music, Natural Sciences, Public Health, Social Sciences",Yes,"Need-based financial aid; Columbia Priority Grant; graduate fellowships and stipends",Fall,https://undergrad.admissions.columbia.edu,https://www.columbia.edu,https://www.columbia.edu/sites/default/files/styles/1920x1080/public/content/Morningside%20campus%20from%20the%20air.jpg,https://www.columbia.edu/sites/default/files/styles/1920x1080/public/content/butler-library.jpg,https://www.columbia.edu/sites/default/files/styles/1920x1080/public/content/Low-Plaza.jpg,https://www.columbia.edu/sites/default/files/styles/1920x1080/public/content/cu_logo.png,"Located in New York City; ED binding commitment for UG; strong need-blind admissions"
EPFL (École Polytechnique Fédérale de Lausanne),Switzerland,Lausanne,19,Public,CHF 1460/semester (~CHF 2920/year; same for all students),CHF 100 (PG),"7.0 (PG)","100 iBT (PG)",,Bachelor's in French; Master's in English,Nov 1–Jan 15 (UG); Nov 1–Dec 15 (PG),"Architecture, Biological Engineering, Chemistry, Computer & Communication Sciences, Electrical Engineering, Environmental Engineering, Life Sciences, Mathematics, Materials Science, Physics",Yes,"EPFL Excellence Fellowships (PG); Swiss Government Excellence Scholarships; need-based grants",Fall (Sep),https://www.epfl.ch/education/master/admissions/,https://www.epfl.ch,https://www.epfl.ch/campus/published/files/2018/10/homepage_campus2.jpg,https://www.epfl.ch/campus/published/files/2019/09/rolex-learning-center.jpg,https://actu.epfl.ch/public/1087/main/hero-desktop.jpg,https://www.epfl.ch/etc/designs/epfl_redesign/svg/epfl-logo.svg,"UG taught in French; PG mostly in English; IELTS/TOEFL required only for non-English taught programs; very low tuition"
University of Edinburgh,UK,Edinburgh,20,Public,£25600–£35000/year (UG Int'l); £18000–£45000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5–7.0","92–100 iBT",,3.3+,Jan 22 (UG UCAS); varies by PG program,"Architecture, Arts & Humanities, Business, Computer Science, Divinity, Education, Engineering, Informatics, Law, Medicine, Natural Sciences, Social Sciences, Veterinary Medicine",Yes,"Edinburgh Global Scholarship; Principal's Career Development PhD Scholarship; Rowand Anderson Memorial Scholarship",Fall (Sep),https://www.ed.ac.uk/studying/postgraduate/applying,https://www.ed.ac.uk,https://www.ed.ac.uk/sites/default/files/atoms/files/old_college_main_quad.jpg,https://www.ed.ac.uk/sites/default/files/atoms/files/george_square.jpg,https://www.ed.ac.uk/sites/default/files/atoms/files/edinburgh_university_library.jpg,https://www.ed.ac.uk/sites/default/files/atoms/files/uoe_logo.png,"Personal statement; UCAT for Medicine; portfolio for architecture/art; SDS Vetted Sponsor for student visa"
University of Michigan-Ann Arbor,USA,Ann Arbor (MI),21,Public,"USD 17786/year (MI resident UG); USD 57273/year (non-resident UG); varies PG",USD 75 (UG); USD 75 (PG),"6.5+","84+ iBT",,3.0 (UG min); 3.5+ (PG competitive),Feb 1 (UG RD); Nov 1 (EA); Dec–Feb (PG),"Architecture, Business (Ross MBA), Computer Science, Dentistry, Education, Engineering, Kinesiology, Law, Medicine, Music, Natural Sciences, Nursing, Public Policy, Social Work, Social Sciences",Yes,"Merit & need-based scholarships; University Diversity & Access Programs; Rackham Graduate Fellowships",Fall,https://apply.umich.edu,https://umich.edu,https://umich.edu/sites/default/files/2020-02/michigan-campus.jpg,https://umich.edu/sites/default/files/2019-09/ugo-campus-aerial.jpg,https://umich.edu/sites/default/files/2021-08/michigan-union.jpg,https://umich.edu/sites/default/files/styles/umich_3x2_800w/public/2022-07/block_M_maize.png,"GRE/GMAT required for most PG; SAT/ACT required for UG; test-optional available for some programs"
Johns Hopkins University,USA,Baltimore (MD),22,Private,"USD 63380/year (UG tuition); ~USD 86000/year (total CoA)",USD 70,"7.0+","100+ iBT",,3.5+,Nov 1 (ED I); Jan 2 (ED II & RD); Dec–Feb (PG),"Biomedical Engineering, Computer Science, Economics, Engineering, International Studies, Medicine, Natural Sciences, Nursing, Public Health, Social Sciences",Yes,"Need-based financial aid; Hodson Trust Scholarship; Bloomberg Distinguished Professorships; graduate fellowships",Fall,https://apply.jhu.edu,https://www.jhu.edu,https://www.jhu.edu/assets/themes/machina/images/homepage/hero/homepage-hero-humanities.jpg,https://www.jhu.edu/assets/themes/machina/images/homepage/hero/homepageimage-gilman-400.jpg,https://www.jhu.edu/assets/themes/machina/images/homepage/hero/Bloomberg-courtyard.jpg,https://www.jhu.edu/assets/uploads/2016/09/JH_University_Primary_logo_vertical_small_RGB.png,"Strong pre-med culture; GRE required for many PG programs; SAT/ACT required for UG"
Tsinghua University,China,Beijing,23,Public,CNY 26000–45000/year (~USD 3600–6200/year) for Chinese students; higher for international,None–USD 50,"6.0+","80+ iBT",,3.0+,March–May (PG); varies by program,"Architecture, Art, Computer Science, Economics, Engineering, Environmental Science, Law, Management, Natural Sciences, Physics, Social Sciences",Yes,"Tsinghua University Scholarship; CSC (Chinese Government) Scholarship; University-specific international scholarships",Fall (Sep),https://www.tsinghua.edu.cn/en/Admissions.htm,https://www.tsinghua.edu.cn,https://www.tsinghua.edu.cn/image/THUnews/2022/0202-1.jpg,https://www.tsinghua.edu.cn/image/THUnews/2021/0129-1.jpg,https://www.tsinghua.edu.cn/image/THUnews/2022/0202-2.jpg,https://www.tsinghua.edu.cn/image/logo/logo.png,"Most PG programs taught in Chinese; limited English-medium PG programs available; HSK required for Chinese-taught programs"
University of Melbourne,Australia,Melbourne,24,Public,AUD 40000–55000/year (UG Int'l); AUD 26000–53000/year (PG Int'l),AUD 100,"6.5–7.0 (program-specific)","79–100 iBT",,3.0 (4.0 scale),Dec 1 (UG); rolling (PG),"Architecture, Arts, Biomedical Sciences, Business, Commerce, Dentistry, Education, Engineering, Environments, Fine Arts, Law, Medicine, Music, Science, Veterinary Science",Yes,"Melbourne Research Scholarship; Melbourne International Fee Remission Scholarship; Graduate Research Scholarships; Arts faculty scholarships",Semester 1 (Mar); Semester 2 (Jul),https://study.unimelb.edu.au/how-to-apply,https://www.unimelb.edu.au,https://about.unimelb.edu.au/sites/default/files/styles/full_width_3x2/public/2019-05/Main-quadrangle-aerial.jpg,https://about.unimelb.edu.au/sites/default/files/styles/full_width_3x2/public/2019-05/South-Lawn-Parkville.jpg,https://about.unimelb.edu.au/sites/default/files/styles/full_width_3x2/public/2019-05/Union-Building.jpg,https://about.unimelb.edu.au/sites/default/files/styles/full_width_3x2/public/2019-05/UoM_Logo_RGB_Preferred.png,"Accepts PTE Academic; graduate coursework requires relevant UG degree; Juris Doctor for law (PG entry)"
Peking University,China,Beijing,25,Public,CNY 26000–45000/year (~USD 3600–6200) for Chinese; higher for Int'l,USD 50 (Int'l),"6.0+","79+ iBT",,3.0+,March–May (PG); Dec–April (UG),"Computer Science, Economics, Environmental Sciences, International Relations, Law, Management, Mathematics, Natural Sciences, Philosophy, Social Sciences",Yes,"Peking University Scholarship; Chinese Government Scholarship (CSC); Silk Road Scholarship",Fall (Sep),https://www.pku.edu.cn/International/Admissions/,https://www.pku.edu.cn,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Boya_Pagoda%2C_Peking_University.jpg/1280px-Boya_Pagoda%2C_Peking_University.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Weiming_Lake%2C_Peking_University%2C_2011042209.jpg/1280px-Weiming_Lake%2C_Peking_University%2C_2011042209.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Weiming_Lake_of_Peking_University_in_spring_03.jpg/1280px-Weiming_Lake_of_Peking_University_in_spring_03.jpg,https://www.pku.edu.cn/Portals/0/portal.png,"Most programs in Chinese; limited English-medium programs; Chinese language proficiency (HSK) required for Chinese-taught programs"
University of Toronto,Canada,Toronto (ON),26,Public,CAD 42000–56000/year (UG Int'l); CAD 26000–60000/year (PG Int'l),CAD 90 (UG); CAD 110 (PG),"6.5 min; 7.0+ for professional programs","100+ iBT",,3.0 (UG min); 3.3+ (PG),Mar 1–Jun 1 (PG); Nov–Feb (UG),"Architecture, Arts & Sciences, Business (Rotman MBA), Computer Science, Dentistry, Education, Engineering, Kinesiology, Law, Medicine, Music, Nursing, Pharmacy, Public Health, Social Work",Yes,"University of Toronto Scholarship; Lester B. Pearson Scholarship (UG Int'l full scholarship); Ontario Graduate Scholarship; UTSG Graduate Fellowships",Fall (Sep),https://admissions.utoronto.ca,https://www.utoronto.ca,https://www.utoronto.ca/sites/default/files/2020-12/hart-house.jpg,https://www.utoronto.ca/sites/default/files/2020-12/st-george-campus.jpg,https://www.utoronto.ca/sites/default/files/2021-02/robarts-library.jpg,https://www.utoronto.ca/sites/default/files/styles/utorontowide/public/2023-11/UofT_Logo_Signature_Stack_RGB.png,"GMAT/GRE required for MBA and some PG programs; Rotman MBA requires GMAT 660+"
University of Hong Kong (HKU),Hong Kong,Hong Kong,27,Public,HKD 145000/year (~USD 18500/year) (UG Int'l); HKD 120000–180000/year (PG Int'l),HKD 300 (UG); HKD 300–500 (PG),"6.5–7.0","80–100 iBT",,3.0+,Dec–Feb (UG); rolling (PG),"Architecture, Arts, Business Economics & Accounting, Dentistry, Education, Engineering, Law, Medicine, Science, Social Sciences",Yes,"HKU Foundation Scholarships; Vice-Chancellor's Achievement Award; Reaching Out Award for exchange; research postgraduate scholarships",Fall (Sep); Spring (Jan; for some PG),https://www.aal.hku.hk/admissions/undergraduate/,https://www.hku.hk,https://www.hku.hk/f/news_events/2020/3/6/7202-landscape-1024x683.jpg,https://www.hku.hk/f/news_events/2019/8/5/6399-landscape-1024x683.jpg,https://www.hku.hk/f/news_events/2019/7/1/6273-landscape-1024x683.jpg,https://www.hku.hk/f/page/1/hku-logo.png,"IELTS/TOEFL waived for UG from English-medium schools; JUPAS for local applicants; GMAT for MBA"
